task_id,query,query_type,researcher_name,researcher_department,researcher_position,researcher_summary,source,system_rank,relevance_score,notes
1,semiconductor thin film growth by molecular beam epitaxy,specific,Debdeep Jena,Materials Science and Engineering,David E. Burr Professor of Engineering,"Research Interests
The Jena group explores the fundamental limits of computation, memory, and communications with semiconductor devices by exploiting and understanding new physics. In recent years, they are immersed in research on the following topics:
the performance limits of ultrahigh speed GaN and AlN transistors for all-electronic THz sources,
ultra wide bandgap semiconductor transistors for power electronics (see Energy.gov presentation),
photonic devices in the IR & visible, and deep-UV L",system_result,1,,
2,semiconductor thin film growth by molecular beam epitaxy,specific,Dieter Ast,Materials Science and Engineering,Emeritus,"Research Interests
Thin Film Electronics, Flat Panel Displays, Glass Substrates for Flat Panel Displays.",system_result,2,,
3,semiconductor thin film growth by molecular beam epitaxy,specific,Darrell Schlom,Materials Science and Engineering,Tisch University Professor,"Research Interests
The focus of my group’s research is investigating and perfecting the properties of oxide materials for electronic uses. To do this, we grow oxide thin films on single crystal substrates of closely related substances. The single crystal substrate provides a structural template for the thin films that we grow. The films follow this atomic template and are thus said to be epitaxial (inheriting their crystalline arrangement from the underlying substrate). Our focus on oxides is du",system_result,3,,
4,semiconductor thin film growth by molecular beam epitaxy,specific,Dong-Oh Han,Chemical and Biomolecular Engineering,PhD Student,"PhD student in Chemical and Biomolecular Engineering. Member of Li Group. Advised by Sijin Li. Publications: Cutting-edge plant natural product pathway elucidation; CYP screening for a better terpenoid world; De novo biosynthesis of berberine and halogenated benzylisoquinoline alkaloids in Saccharomyces cerevisiae; MULTI-SCULPT: Multiplex Integration via Selective CRISPR-Mediated, Ultralong Pathway Transformation in Yeast for Plant Natural Product Synthesis; Engineering Saccharomyces cerevisiae ",random,,,
5,gallium nitride power electronics,specific,Huili Grace Xing,Materials Science and Engineering,William L. Quackenbush Professor of Engineering,"Research Interests
Xing’s research work can be loosely categorized into 4 areas, supported by DoD, NSF, SRC, DoE, etc.
III-V Nitride materials and devices. Example projects include AlN/GaN ultrascaled high electron/hole mobility transistors for high-speed high-power applications, fundamental science of polarization doping in polar semiconductors, applications of polar semiconductors in electronics and in photonics including UV optoelectronics, non-linear optical materials, piezoelectric properti",system_result,1,,
6,gallium nitride power electronics,specific,Debdeep Jena,Materials Science and Engineering,David E. Burr Professor of Engineering,"Research Interests
The Jena group explores the fundamental limits of computation, memory, and communications with semiconductor devices by exploiting and understanding new physics. In recent years, they are immersed in research on the following topics:
the performance limits of ultrahigh speed GaN and AlN transistors for all-electronic THz sources,
ultra wide bandgap semiconductor transistors for power electronics (see Energy.gov presentation),
photonic devices in the IR & visible, and deep-UV L",system_result,2,,
7,gallium nitride power electronics,specific,R. B. van Dover,Materials Science and Engineering,"Walter S. Carpenter, Jr. Professor of Engineering","Research Interests
UHF properties of magnetic thin films: Synthesis and characterization of novel optical materials (nonlinear materials, thin film gain media, etc.) * Characterization of nanometer-scale materials: superconductors, dielectrics, and magnetic materials * Electronic phase diagrams determined by induced surface charges rather than chemical doping * Composition-spread approach to parallelized synthesis/characterization of materials, including novel catalysts for direct-methanol fuel ",system_result,3,,
8,gallium nitride power electronics,specific,Alton Harold Clark,Materials Science and Engineering,Adjunct ProfessorTemp Serv Tech,"View all 			Faculty 		
Alton Harold Clark
Adjunct Professor
Temp Serv Tech
Department of Materials Science and Engineering
LocationBard Hall, Room 210
Emailahc4@cornell.edu",random,,,
9,CRISPR gene editing in mammalian cells,specific,Eda Celik,Chemical and Biomolecular Engineering,"Associate Director, Masters of Engineering Program—Biomolecular EngineeringTeaching Professor","View all 			Faculty 		
Eda Celik
Associate Director, Masters of Engineering Program—Biomolecular Engineering
Teaching Professor
R.F. Smith School of Chemical and Biomolecular Engineering
Location248 Olin Hall
Phone607-255-4423
Emailec525@cornell.edu
Biography
Eda Celik joined the Smith School of Chemical and Biomolecular Engineering in the summer of 2024. She received her B.S. (2001), M.S. (2003), and Ph.D. (2008) degrees from the Department of Chemical Engineering, Middle East Technical Univers",system_result,1,,
10,CRISPR gene editing in mammalian cells,specific,Marsha Kowal,Chemical and Biomolecular Engineering,Associate Director of Graduate StudiesAssociate Teaching Professor,"View all 			Faculty 		
Marsha Kowal
Associate Director of Graduate Studies
Associate Teaching Professor 
R.F. Smith School of Chemical and Biomolecular Engineering
LocationOlin Hall, Room 248A
Phone607-255-8611
Emailmcl238@cornell.edu
Biography
Marsha Kowal is a Senior Lecturer and the Associate Director of Graduate Studies for the Smith School of Chemical and Biomolecular Engineering at Cornell University. She earned her B.S. in Bioengineering from Oregon State University where she completed an",system_result,2,,
11,CRISPR gene editing in mammalian cells,specific,Minglin Ma,Chemical and Biomolecular Engineering,Professor,"Breadcrumb
Home
Research
Our Experts
 Minglin Ma 
 	 	 Minglin Ma 	 	 
Professor, Biological and Environmental Engineering 
About
Minglin Ma is a Professor at the Biological and Environmental Engineering Department of Cornell University. He received his BS degree from Tsinghua University and PhD from MIT, both in Chemical Engineering. Prior to joining Cornell in 2013, he worked as a Lead Scientist at General Electric Global Research Center and as a postdoctoral fellow in Dr. Robert Langer’s labo",system_result,3,,
12,CRISPR gene editing in mammalian cells,specific,Eric Dufresne,Materials Science and Engineering,Professor,"Research Interests
The Laboratory of Soft and Living Materials ↗ focuses on biological and biologically-inspired materials.  Our research is focused on quantitative physical experiments but integrates elements of cell biology, biochemistry, and theory as needed.
Advanced Materials
Biomedical Engineering
Biomechanics and Mechanobiology
Colloids and Interfacial Science
Materials Synthesis and Processing
Mechanics of Biological Materials
Molecular and Cellular Engineering
Polymers and Soft Matter",random,,,
13,polymer electrolyte membranes for fuel cells,specific,Alfred Center,Chemical and Biomolecular Engineering,Professor of PracticeEmeritus,"Research Interests
Sustainable Energy Systems",system_result,1,,
